total_bill,tip,sex,smoker,time,size,week
16.99,1.01,Female,No,Dinner,2,Sun
10.34,1.66,Male,No,Dinner,3,Sun
21.01,3.5,Male,No,Dinner,3,Sun
23.68,3.31,Male,No,Dinner,2,Sun
24.59,3.61,Female,No,Dinner,4,Sun
25.29,4.71,Male,No,Dinner,4,Sun
8.77,2.0,Male,No,Dinner,2,Sun
26.88,3.12,Male,No,Dinner,4,Sun
15.04,1.96,Male,No,Dinner,2,Sun
14.78,3.23,Male,No,Dinner,2,Sun
10.27,1.71,Male,No,Dinner,2,Sun
35.26,5.0,Female,No,Dinner,4,Sun
15.42,1.57,Male,No,Dinner,2,Sun
18.43,3.0,Male,No,Dinner,4,Sun
14.83,3.02,Female,No,Dinner,2,Sun
21.58,3.92,Male,No,Dinner,2,Sun
10.33,1.67,Female,No,Dinner,3,Sun
16.29,3.71,Male,No,Dinner,3,Sun
16.97,3.5,Female,No,Dinner,3,Sun
20.65,3.35,Male,No,Dinner,3,Sat
17.92,4.08,Male,No,Dinner,2,Sat
20.29,2.75,Female,No,Dinner,2,Sat
15.77,2.23,Female,No,Dinner,2,Sat
39.42,7.58,Male,No,Dinner,4,Sat
19.82,3.18,Male,No,Dinner,2,Sat
17.81,2.34,Male,No,Dinner,4,Sat
13.37,2.0,Male,No,Dinner,2,Sat
12.69,2.0,Male,No,Dinner,2,Sat
21.7,4.3,Male,No,Dinner,2,Sat
19.65,3.0,Female,No,Dinner,2,Sat
9.55,1.45,Male,No,Dinner,2,Sat
18.35,2.5,Male,No,Dinner,4,Sat
15.06,3.0,Female,No,Dinner,2,Sat
20.69,2.45,Female,No,Dinner,4,Sat
17.78,3.27,Male,No,Dinner,2,Sat
24.06,3.6,Male,No,Dinner,3,Sat
16.31,2.0,Male,No,Dinner,3,Sat
16.93,3.07,Female,No,Dinner,3,Sat
18.69,2.31,Male,No,Dinner,3,Sat
31.27,5.0,Male,No,Dinner,3,Sat
16.04,2.24,Male,No,Dinner,3,Sat
17.46,2.54,Male,No,Dinner,2,Sun
13.94,3.06,Male,No,Dinner,2,Sun
9.68,1.32,Male,No,Dinner,2,Sun
30.4,5.6,Male,No,Dinner,4,Sun
18.29,3.0,Male,No,Dinner,2,Sun
22.23,5.0,Male,No,Dinner,2,Sun
32.4,6.0,Male,No,Dinner,4,Sun
28.55,2.05,Male,No,Dinner,3,Sun
18.04,3.0,Male,No,Dinner,2,Sun
12.54,2.5,Male,No,Dinner,2,Sun
10.29,2.6,Female,No,Dinner,2,Sun
34.81,5.2,Female,No,Dinner,4,Sun
9.94,1.56,Male,No,Dinner,2,Sun
25.56,4.34,Male,No,Dinner,4,Sun
19.49,3.51,Male,No,Dinner,2,Sun
38.01,3.0,Male,Yes,Dinner,4,Sat
26.41,1.5,Female,No,Dinner,2,Sat
11.24,1.76,Male,Yes,Dinner,2,Sat
48.27,6.73,Male,No,Dinner,4,Sat
20.29,3.21,Male,Yes,Dinner,2,Sat
13.81,2.0,Male,Yes,Dinner,2,Sat
11.02,1.98,Male,Yes,Dinner,2,Sat
18.29,3.76,Male,Yes,Dinner,4,Sat
17.59,2.64,Male,No,Dinner,3,Sat
20.08,3.15,Male,No,Dinner,3,Sat
16.45,2.47,Female,No,Dinner,2,Sat
3.07,1.0,Female,Yes,Dinner,1,Sat
20.23,2.01,Male,No,Dinner,2,Sat
15.01,2.09,Male,Yes,Dinner,2,Sat
12.02,1.97,Male,No,Dinner,2,Sat
17.07,3.0,Female,No,Dinner,3,Sat
26.86,3.14,Female,Yes,Dinner,2,Sat
25.28,5.0,Female,Yes,Dinner,2,Sat
